tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
52940,VEN,RUS,2009,X,24,,2011,N/A,BM-21 Grad 122mm,AR,Self-propelled MRL,L,24,X,2011,Venezuela,Russia,S,0.18,4.32,4.32
51553,VEN,RUS,2009,X,12,X,2013,N/A,BM-9A52 Smerch,AR,Self-propelled MRL,L,12,X,2013,Venezuela,Russia,N,1.2,14.4,14.4
50781,VEN,RUS,2009,,123,X,2013,N/A,BMP-3,AV,IFV,L,123,X,2011-2013,Venezuela,Russia,N,1.45,178.35,178.35
62405,VEN,RUS,2009,,5,X,2013,N/A,BREM-1,AV,ARV,L,5,X,2011-2013,Venezuela,Russia,R,0.924,4.62,4.62
34215,VEN,RUS,2009,,114,X,2014,N/A,BTR-80A,AV,IFV,L,114,X,2011-2014,Venezuela,Russia,N,0.9,102.6,102.6
51560,VEN,RUS,2009,X,3,X,2013,N/A,Buk-M2/SA-17,AD,SAM system,L,3,X,2013,Venezuela,Russia,N,60,180,180
50622,VEN,RUS,2008,,2000,X,2010,N/A,Igla-S/SA-24,MI,Portable SAM,L,2000,X,2009-2010,Venezuela,Russia,N,0.08,160,160
57159,VEN,RUS,2011,X,2000,X,2012,N/A,Igla-S/SA-24,MI,Portable SAM,L,2000,,2012,Venezuela,Russia,N,0.08,160,160
50324,VEN,RUS,2006,X,200,X,2008,N/A,KAB-500/1500,MI,Guided Bomb,L,200,X,2007-2008,Venezuela,Russia,N,0.02,4,4
50244,VEN,RUS,2006,,50,X,2008,N/A,Kh-29/AS-14 Kedge,MI,ASM,L,50,X,2008,Venezuela,Russia,N,0.2,10,10
50323,VEN,RUS,2006,X,50,X,2008,N/A,Kh-31A1/AS-17,MI,Anti-ship missile/ARM,L,50,X,2008,Venezuela,Russia,N,1.1,55,55
50084,VEN,RUS,2006,,50,X,2008,N/A,Kh-59ME Ovod/AS-18,MI,ASM,L,50,X,2008,Venezuela,Russia,N,1.1,55,55
35631,VEN,RUS,2005,,1,,2007,N/A,Mi-26,AC,Transport helicopter,L,1,,2007,Venezuela,Russia,N,30,30,30
38421,VEN,RUS,2006,,2,,2008,N/A,Mi-26,AC,Transport helicopter,L,2,,2007-2008,Venezuela,Russia,N,30,60,60
34801,VEN,RUS,2005,,3,,2006,N/A,Mi-35M,AC,Combat helicopter,L,3,,2006,Venezuela,Russia,N,11.5,34.5,34.5
36057,VEN,RUS,2005,,5,,2006,N/A,Mi-35M,AC,Combat helicopter,L,5,,2006,Venezuela,Russia,N,11.5,57.5,57.5
40022,VEN,RUS,2006,,2,,2008,N/A,Mi-35M,AC,Combat helicopter,L,2,,2008,Venezuela,Russia,N,11.5,23,23
33020,VEN,RUS,2005,,6,X,2006,N/A,Mi-8MT/Mi-17,AC,Transport helicopter,L,6,,2006,Venezuela,Russia,N,6.75,40.5,40.5
36056,VEN,RUS,2006,,14,X,2009,N/A,Mi-8MT/Mi-17,AC,Transport helicopter,L,14,X,2008-2009,Venezuela,Russia,N,6.75,94.5,94.5
39042,VEN,RUS,2006,X,18,X,2010,N/A,Mi-8MT/Mi-17,AC,Transport helicopter,L,18,X,2009-2010,Venezuela,Russia,N,6.75,121.5,121.5
39462,VEN,RUS,2006,,100,X,2008,N/A,R-27/AA-10,MI,BVRAAM,L,100,X,2007-2008,Venezuela,Russia,N,0.19,19,19
39460,VEN,RUS,2006,,150,X,2008,N/A,R-73/AA-11,MI,SRAAM,L,150,X,2006-2008,Venezuela,Russia,N,0.15,22.5,22.5
50899,VEN,RUS,2008,X,11,X,2014,N/A,S-125 Pechora-2M,AD,SAM system,L,11,X,2011-2014,Venezuela,Russia,N,30,330,330
51559,VEN,RUS,2009,X,3,X,2013,N/A,S-300VM/SA-23,AD,SAM system,L,3,X,2013,Venezuela,Russia,N,60,180,180
33019,VEN,RUS,2006,,24,,2008,N/A,Su-30MK,AC,FGA aircraft,L,24,,2006-2008,Venezuela,Russia,N,55,1320,1320
50621,VEN,RUS,2009,,92,,2013,N/A,T-72M1,AV,Tank,L,92,,2011-2013,Venezuela,Russia,R,1.716,157.872,157.872
53507,VEN,RUS,2008,,550,X,2014,N/A,V-601/SA-3B,MI,SAM,L,550,X,2011-2014,Venezuela,Russia,R,0.0792,43.56,43.56
,,,,,9571,,,,,,,,9371,,,,,,,,
